epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.71,3.19397,30.8393,0.95905,0,0,0,0,3.34195,24.2446,0.87187,0.00052,0.00052,0.00052
2,227.366,3.17861,17.5376,0.93366,0,0,0,0,3.30387,257.505,0.79543,0.00103901,0.00103901,0.00103901
3,340.663,3.28729,14.9029,0.93376,0.00047,0.13861,0.00032,0.00011,3.14731,20.9162,0.86163,0.00153664,0.00153664,0.00153664
4,453.914,3.19001,11.9521,0.91252,0.00118,0.32673,0.00409,0.00108,3.01504,17.2493,0.85373,0.0018812,0.0018812,0.0018812
5,567.542,3.16964,9.70361,0.9219,0.42804,0.10891,0.08245,0.01444,3.59988,14.6994,0.90829,0.0018416,0.0018416,0.0018416
6,681.068,3.17886,7.25302,0.91037,0.77459,0.06817,0.08891,0.01719,3.48164,9.5703,0.84409,0.001802,0.001802,0.001802
7,794.316,2.9385,5.56381,0.90984,0.66837,0.15968,0.18971,0.05918,2.68177,5.65769,0.82374,0.0017624,0.0017624,0.0017624
8,907.668,2.89818,5.08496,0.8898,0.5961,0.12871,0.18136,0.05343,3.07133,5.71977,0.83437,0.0017228,0.0017228,0.0017228
9,1021.47,2.9998,4.60206,0.89948,0.66836,0.20792,0.31703,0.09405,2.62026,4.78591,0.80324,0.0016832,0.0016832,0.0016832
10,1135.55,2.8084,3.85651,0.87337,0.68658,0.36875,0.41825,0.11113,2.57057,3.72981,0.79831,0.0016436,0.0016436,0.0016436
11,1249.3,2.7494,3.59725,0.87231,0.71291,0.29703,0.38023,0.12095,2.64846,3.49234,0.79848,0.001604,0.001604,0.001604
12,1362.98,2.88046,3.41163,0.86161,0.65725,0.39604,0.44138,0.13581,2.75069,3.12065,0.7994,0.0015644,0.0015644,0.0015644
13,1476.53,2.73792,2.94927,0.88009,0.53965,0.41584,0.40834,0.10884,2.53518,2.83592,0.79946,0.0015248,0.0015248,0.0015248
14,1589.91,2.73502,2.79853,0.87936,0.3088,0.19802,0.17632,0.0477,2.7407,3.02578,0.79824,0.0014852,0.0014852,0.0014852
15,1703.55,2.85597,2.78154,0.89576,0.61538,0.33663,0.3421,0.10519,2.34216,2.58232,0.79662,0.0014456,0.0014456,0.0014456
16,1817.12,2.70253,2.54817,0.88499,0.49786,0.39604,0.32014,0.10744,2.51799,2.40626,0.81619,0.001406,0.001406,0.001406
17,1930.82,2.50297,2.16655,0.8556,0.60786,0.46535,0.45697,0.14333,2.43092,2.46547,0.80404,0.0013664,0.0013664,0.0013664
18,2044.43,2.55006,2.15171,0.87347,0.57623,0.39604,0.42677,0.13564,2.28455,2.32502,0.8123,0.0013268,0.0013268,0.0013268
19,2157.93,2.51589,1.96074,0.85509,0.63399,0.45545,0.44596,0.14317,2.41354,2.0569,0.80599,0.0012872,0.0012872,0.0012872
20,2271.78,2.60546,2.1146,0.87071,0.43068,0.29703,0.28206,0.08907,2.75015,2.2232,0.80461,0.0012476,0.0012476,0.0012476
21,2385.69,2.56444,1.99276,0.88717,0.61493,0.25303,0.34903,0.09115,2.54066,2.47107,0.80402,0.001208,0.001208,0.001208
22,2499.69,2.64112,2.11368,0.87163,0.5101,0.37624,0.39595,0.1127,2.32771,2.2493,0.80062,0.0011684,0.0011684,0.0011684
23,2614.04,2.58368,1.99627,0.85721,0.63151,0.3903,0.48636,0.15555,2.1962,2.09322,0.79593,0.0011288,0.0011288,0.0011288
24,2728.38,2.51086,1.75867,0.86214,0.41449,0.42756,0.37107,0.11736,2.42113,1.82375,0.79412,0.0010892,0.0010892,0.0010892
25,2842.6,2.41478,1.72179,0.86989,0.44961,0.37624,0.38438,0.12867,2.19774,1.93492,0.79466,0.0010496,0.0010496,0.0010496
26,2956.84,2.45045,1.59472,0.85756,0.60174,0.45545,0.46899,0.13761,2.66207,1.76165,0.81126,0.00101,0.00101,0.00101
27,3070.68,2.38753,1.63051,0.84582,0.61493,0.39529,0.39127,0.12868,2.33716,1.83041,0.8095,0.0009704,0.0009704,0.0009704
28,3184.65,2.42968,1.54167,0.83939,0.62154,0.46535,0.45871,0.1668,1.98661,1.59838,0.79614,0.0009308,0.0009308,0.0009308
29,3298.61,2.3433,1.58192,0.8446,0.57473,0.44158,0.45974,0.17064,2.02218,1.59866,0.79504,0.0008912,0.0008912,0.0008912
30,3412.73,2.25268,1.48183,0.83402,0.61613,0.44554,0.52043,0.1867,1.9918,1.54226,0.78099,0.0008516,0.0008516,0.0008516
31,3527.06,2.42026,1.60369,0.84344,0.53536,0.42574,0.42194,0.13007,2.44158,1.64184,0.78577,0.000812,0.000812,0.000812
32,3640.98,2.37685,1.57816,0.83481,0.55895,0.40594,0.42469,0.14651,2.16819,1.58805,0.78943,0.0007724,0.0007724,0.0007724
33,3754.7,2.33319,1.46448,0.84448,0.65331,0.41584,0.47925,0.18885,1.93073,1.47578,0.78823,0.0007328,0.0007328,0.0007328
34,3868.1,2.23073,1.42673,0.8224,0.63177,0.49264,0.52075,0.1958,2.11937,1.45438,0.79185,0.0006932,0.0006932,0.0006932
35,3981.59,2.32399,1.3454,0.84642,0.4176,0.36634,0.33471,0.10327,2.40496,1.79379,0.79213,0.0006536,0.0006536,0.0006536
36,4095.42,2.23756,1.30125,0.8513,0.61107,0.44554,0.48152,0.18485,2.00557,1.48829,0.79595,0.000614,0.000614,0.000614
37,4209.34,2.18179,1.29497,0.83369,0.55272,0.41598,0.4858,0.15464,2.31628,1.50249,0.79211,0.0005744,0.0005744,0.0005744
38,4323.39,2.32641,1.43071,0.8545,0.64337,0.34653,0.36719,0.09688,2.7143,1.72049,0.79775,0.0005348,0.0005348,0.0005348
39,4437.33,2.26301,1.29769,0.8479,0.67898,0.41886,0.47691,0.15032,2.36367,1.45645,0.79566,0.0004952,0.0004952,0.0004952
40,4551.37,2.14654,1.29088,0.82385,0.67724,0.44554,0.54076,0.1851,2.24621,1.36692,0.78962,0.0004556,0.0004556,0.0004556
41,4664.92,2.15136,1.37457,0.85077,0.5335,0.48515,0.52123,0.20924,2.03888,1.34242,0.78924,0.000416,0.000416,0.000416
42,4778.33,2.11499,1.3732,0.83322,0.69565,0.46535,0.52075,0.20257,2.0718,1.29306,0.79118,0.0003764,0.0003764,0.0003764
43,4891.85,2.00887,1.33713,0.85167,0.72067,0.43427,0.53885,0.19142,2.17962,1.48753,0.7855,0.0003368,0.0003368,0.0003368
44,5005.05,2.10775,1.20784,0.85981,0.80276,0.42574,0.51866,0.17407,2.12691,1.39203,0.78856,0.0002972,0.0002972,0.0002972
45,5118.03,2.02944,1.18374,0.82234,0.75827,0.43564,0.5183,0.19979,2.03587,1.26316,0.79043,0.0002576,0.0002576,0.0002576
46,5231.21,2.01421,1.18119,0.8508,0.5891,0.44007,0.47804,0.18026,2.10277,1.32428,0.79638,0.000218,0.000218,0.000218
47,5344.69,2.02944,1.1849,0.84909,0.60853,0.44554,0.53457,0.2173,2.05186,1.26094,0.79686,0.0001784,0.0001784,0.0001784
48,5458.27,2.05889,1.27548,0.82229,0.73778,0.44554,0.53558,0.21518,2.07592,1.27718,0.79547,0.0001388,0.0001388,0.0001388
49,5571.83,1.97365,1.09754,0.82823,0.77193,0.44554,0.54073,0.216,1.99786,1.27517,0.79295,9.92e-05,9.92e-05,9.92e-05
50,5684.89,1.88537,1.13784,0.85697,0.75649,0.46142,0.53626,0.21529,1.93,1.26253,0.78971,5.96e-05,5.96e-05,5.96e-05
