epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5594,1.3062,4.14601,1.43921,0.00152,0.14286,0.14214,0.11939,1.46903,3.9726,1.1038,9.09e-05,9.09e-05,9.09e-05
2,97.0037,1.4517,3.72662,1.03888,0.00149,0.14286,0.14214,0.12962,1.25584,3.97065,0.92312,0.000171992,0.000171992,0.000171992
3,145.569,1.55584,3.34699,0.99976,0.00133,0.14286,0.14214,0.12766,1.26594,3.96801,0.93125,0.000233286,0.000233286,0.000233286
4,194.004,1.43665,2.58007,0.95612,0.00141,0.14286,0.14214,0.13392,1.27226,3.85435,0.86147,0.000274782,0.000274782,0.000274782
5,242.356,1.25564,1.94976,0.92913,0.00173,0.14286,0.14214,0.13186,1.34161,3.63417,0.90585,0.000296479,0.000296479,0.000296479
6,290.714,1.15131,1.70982,0.90969,0.99974,0.14286,0.14232,0.13577,1.29237,3.29522,0.82377,0.000298379,0.000298379,0.000298379
7,339.249,1.11127,1.51808,0.89957,0.99877,0.14286,0.16321,0.1426,1.28412,2.95503,0.83126,0.000280481,0.000280481,0.000280481
8,387.877,1.05171,1.40745,0.89044,0.99763,0.14286,0.48035,0.27292,1.28246,2.57214,0.79454,0.000242785,0.000242785,0.000242785
9,436.432,1.04185,1.32477,0.88357,0.99755,0.14286,0.58916,0.3378,1.20042,2.35235,0.78706,0.000185291,0.000185291,0.000185291
10,484.898,1.00437,1.27518,0.87728,0.99748,0.14286,0.59964,0.33203,1.18025,2.06734,0.78049,9.9081e-05,9.9081e-05,9.9081e-05
